valid_time,latitude,longitude,tp,ro,number,expver
2022-01-01 06:00:00,5.0,95.25,0.0008535385,0.0,0,0001
2022-01-01 06:00:00,5.0,95.5,0.00088119507,9.894371e-05,0,0001
2022-01-01 06:00:00,5.0,95.75,0.0021295547,0.00043845177,0,0001
2022-01-01 06:00:00,5.0,96.0,0.0034832954,0.0007226467,0,0001
2022-01-01 09:00:00,6.0,95.0,0.0001206398,0.0,0,0001
2022-01-01 09:00:00,6.0,95.25,0.00035572052,0.0,0,0001
2022-01-01 09:00:00,6.0,95.5,0.0006966591,0.0,0,0001
2022-01-01 09:00:00,6.0,95.75,0.0006752014,0.0,0,0001
2022-01-01 09:00:00,6.0,96.0,0.00039291382,0.0,0,0001
2022-01-01 09:00:00,5.75,95.0,0.00013065338,0.0,0,0001
2022-01-01 09:00:00,5.75,95.25,0.0012688637,2.861023e-06,0,0001
2022-01-01 09:00:00,5.75,95.5,0.0020694733,2.861023e-06,0,0001
2022-01-01 09:00:00,5.75,95.75,0.0022325516,0.0,0,0001
2022-01-01 09:00:00,5.75,96.0,0.0016646385,0.0,0,0001
2022-01-01 09:00:00,5.5,95.0,0.00021791458,0.0,0,0001
2022-01-01 09:00:00,5.5,95.25,0.00025510788,4.9352646e-05,0,0001
2022-01-01 09:00:00,5.5,95.5,0.0008611679,0.00013661385,0,0001
2022-01-01 09:00:00,5.5,95.75,0.0018668175,0.00010371208,0,0001
2022-01-01 09:00:00,5.5,96.0,0.0025877953,0.0,0,0001
2022-01-01 09:00:00,5.25,95.0,0.00039052963,0.0,0,0001
2022-01-01 09:00:00,5.25,95.25,0.0003862381,7.009506e-05,0,0001
2022-01-01 09:00:00,5.25,95.5,0.000582695,0.00015878677,0,0001
2022-01-01 09:00:00,5.25,95.75,0.0014853477,0.00027799606,0,0001
2022-01-01 09:00:00,5.25,96.0,0.002158165,0.00049352646,0,0001
2022-01-01 09:00:00,5.0,95.0,0.00032806396,0.0,0,0001
2022-01-01 09:00:00,5.0,95.25,0.0020098686,0.0,0,0001
